t,sym,px,qty,b1sz,b1px,a1px,a1sz
2020-04-06D09:05:32.090814000,2330,0,0,230,2725000,2730000,223
2020-04-06D09:05:32.113017000,2330,0,0,230,2725000,2730000,225
2020-04-06D09:05:32.114294000,2330,0,0,230,2725000,2730000,227
2020-04-06D09:05:32.132514000,2330,0,0,230,2725000,2730000,227
2020-04-06D09:05:32.166676000,2330,0,0,230,2725000,2730000,227
2020-04-06D09:05:32.177254000,2330,0,0,230,2725000,2730000,227
2020-04-06D09:05:32.189560000,2330,0,0,230,2725000,2730000,227
2020-04-06D09:05:32.563916000,2330,0,0,230,2725000,2730000,228
2020-04-06D09:05:32.585402000,2330,0,0,230,2725000,2730000,229
2020-04-06D09:05:32.686642000,2330,0,0,229,2725000,2730000,229
2020-04-06D09:05:32.995538000,2330,0,0,229,2725000,2730000,229
2020-04-06D09:05:33.001594000,2330,2730000,1,229,2725000,2730000,228
2020-04-06D09:05:33.159137000,2330,0,0,229,2725000,2730000,229
2020-04-06D09:05:33.185614000,2330,0,0,229,2725000,2730000,229
2020-04-06D09:05:33.383978000,2330,0,0,229,2725000,2730000,230
2020-04-06D09:05:33.847582000,2330,0,0,229,2725000,2730000,230
2020-04-06D09:05:33.971063000,2330,0,0,229,2725000,2730000,230
2020-04-06D09:05:34.495781000,2330,0,0,230,2725000,2730000,230
2020-04-06D09:05:34.810205000,2330,0,0,230,2725000,2730000,230
2020-04-06D09:05:35.094038000,2330,0,0,230,2725000,2730000,230
2020-04-06D09:05:35.472135000,2330,0,0,230,2725000,2730000,232
2020-04-06D09:05:35.738647000,2330,0,0,230,2725000,2730000,232
2020-04-06D09:05:36.056242000,2330,0,0,230,2725000,2730000,232
2020-04-06D09:05:36.321981000,2330,2730000,1,230,2725000,2730000,231
2020-04-06D09:05:36.551765000,2330,0,0,230,2725000,2730000,231
2020-04-06D09:05:36.697724000,2330,0,0,230,2725000,2730000,230
2020-04-06D09:05:36.710257000,2330,2725000,1,229,2725000,2730000,225
2020-04-06D09:05:36.711637000,2330,2725000,5,224,2725000,2730000,225
2020-04-06D09:05:36.752980000,2330,0,0,224,2725000,2730000,226
2020-04-06D09:05:36.756019000,2330,0,0,224,2725000,2730000,225
2020-04-06D09:05:36.756250000,2330,0,0,224,2725000,2730000,224
2020-04-06D09:05:36.769295000,2330,2725000,1,223,2725000,2730000,224
2020-04-06D09:05:36.770070000,2330,2725000,1,222,2725000,2730000,224
2020-04-06D09:05:37.474299000,2330,2725000,1,221,2725000,2730000,224
2020-04-06D09:05:37.767306000,2330,0,0,221,2725000,2730000,224
2020-04-06D09:05:37.991887000,2330,0,0,221,2725000,2730000,225
2020-04-06D09:05:38.428606000,2330,0,0,221,2725000,2730000,226
2020-04-06D09:05:38.457287000,2330,0,0,221,2725000,2730000,229
2020-04-06D09:05:38.597209000,2330,0,0,223,2725000,2730000,229
2020-04-06D09:05:39.789566000,2330,0,0,223,2725000,2730000,231
2020-04-06D09:05:39.860950000,2330,2725000,6,217,2725000,2730000,231
2020-04-06D09:05:39.969873000,2330,0,0,217,2725000,2730000,233
2020-04-06D09:05:40.039149000,2330,2725000,1,216,2725000,2730000,233
2020-04-06D09:05:40.041278000,2330,0,0,215,2725000,2730000,233
2020-04-06D09:05:41.473407000,2330,0,0,216,2725000,2730000,233
2020-04-06D09:05:41.782265000,2330,0,0,221,2725000,2730000,233
2020-04-06D09:05:42.516401000,2330,2725000,1,220,2725000,2730000,233
2020-04-06D09:05:42.743583000,2330,2725000,10,210,2725000,2730000,233
2020-04-06D09:05:43.244048000,2330,0,0,210,2725000,2730000,233
2020-04-06D09:05:43.452964000,2330,2730000,1,210,2725000,2730000,232
2020-04-06D09:05:43.497297000,2330,2725000,1,209,2725000,2730000,232
2020-04-06D09:05:43.592714000,2330,2725000,1,208,2725000,2730000,232
